INFRARED,ULTRASONIC,DISTANCE(cm),TYPE
212,218,65,PLANA
223,240,70,PLANA
231,261,75,PLANA
235,276,80,PLANA
247,291,85,PLANA
212,221,65,CONCAVA
224,239,70,CONCAVA
239,254,75,CONCAVA
227,275,80,CONCAVA
224,293,85,CONCAVA
196,227,65,CONVEXA
211,244,70,CONVEXA
212,263,75,CONVEXA
216,1023,80,CONVEXA
224,1023,85,CONVEXA
204,226,65,CONVEXA
204,240,70,CONVEXA
216,256,75,CONVEXA
223,879,80,CONVEXA
212,1023,85,CONVEXA
192,223,65,CONCAVA
200,238,70,CONCAVA
215,260,75,CONCAVA
232,288,80,CONCAVA
223,291,85,CONCAVA
181,225,65,PLANA
193,238,70,PLANA
200,257,75,PLANA
193,273,80,PLANA
200,292,85,PLANA
